Date,Description,Original Description,Amount,Transaction Type,Category,Account Name,Labels,Notes
8/23/2021,MEET RICE NOODL _F,MEET RICE NOODL _F,16.12,debit,Restaurants,Cash,,
8/23/2021,KFC,DOORDASH*KFC _V,15.68,debit,Restaurants,TD UNLIMITED CHEQUING ACCOUNT,,
8/23/2021,DOORDASH*PARADI _V,DOORDASH*PARADI _V,12.53,debit,Restaurants,TD UNLIMITED CHEQUING ACCOUNT,,
8/23/2021,Real Canadian Superstore,REAL CDN SUPERS,9.21,debit,Groceries,TD UNLIMITED CHEQUING ACCOUNT,,
8/23/2021,OPEN ACCOUNT,OPEN ACCOUNT,0,credit,Transfer,TD EVERY DAY SAVINGS ACCOUNT,,
8/23/2021,OPEN ACCOUNT,OPEN ACCOUNT,0,credit,Transfer,TD UNLIMITED CHEQUING ACCOUNT,,
8/22/2022,PAYMENT - THANK YOU,PAYMENT - THANK YOU,304.5,credit,Credit Card Payment,TD CASH BACK VISA* CARD,,
8/22/2022,UC245 TFR-TO C/C,UC245 TFR-TO C/C,304.5,debit,Credit Card Payment,TD UNLIMITED CHEQUING ACCOUNT,,
8/21/2022,Restaurant,Restaurant,53.2,debit,Restaurants,Cash,,
8/20/2022,Newyorkfries,Newyorkfries,13.81,debit,Restaurants,Cash,,
8/20/2021,Real Canadian Superstore,Real Canadian Superstore,7.41,debit,Groceries,Cash,,
8/19/2022,W M ANDERSON AG,W M ANDERSON AG,258,debit,Home Insurance,Cash,,
8/18/2022,Real Canadian Superstore,Real Canadian Superstore,37.07,debit,Groceries,Cash,,
8/18/2022,T & T Supermarket,T & T Supermarket,15.31,debit,Groceries,Cash,,
8/18/2022,Restaurant,Restaurant,9.44,debit,Restaurants,Cash,,
8/16/2022,T & T Supermarket,T & T Supermarket,12.32,debit,Groceries,Cash,,
8/16/2022,Restaurant,Restaurant,11.71,debit,Restaurants,Cash,,
8/16/2022,Real Canadian Superstore,Real Canadian Superstore,8.49,debit,Groceries,Cash,,
8/15/2022,REVENUE SERVICES BC,REVENUE SERVICES BC,75,debit,Health Insurance,TD CASH BACK VISA* CARD,,
8/12/2022,Bubble Waffle Cafe,Bubble Waffle Cafe,15.7,debit,Restaurants,Cash,,
8/12/2022,Real Canadian Superstore,Real Canadian Superstore,12.28,debit,Groceries,Cash,,
8/12/2022,Price Smart,Price Smart,3.88,debit,Groceries,Cash,,
8/11/2022,Real Canadian Superstore,Real Canadian Superstore,43.67,debit,Groceries,Cash,,
8/11/2022,Haircut,Haircut,41,debit,Hair,Cash,,
8/11/2022,T & T Supermarket,T & T Supermarket,4.53,debit,Groceries,Cash,,
8/09/2022,Initium,Initium,82.17,debit,Newspapers & Magazines,Cash,,
8/06/2022,TELUS PRE-AUTH PAYMENT,TELUS PRE-AUTH PAYMENT,99.93,debit,Mobile Phone,TD CASH BACK VISA* CARD,,
8/05/2022,Restaurant,Restaurant,11.18,debit,Restaurants,Cash,,
8/05/2022,Real Canadian Superstore,Real Canadian Superstore,2.99,debit,Groceries,Cash,,
8/05/2022,Dollarama,Dollarama,2.81,debit,Shopping,Cash,,
8/04/2022,FIDO Mobile ******3898,FIDO Mobile ******3898,54.57,debit,Mobile Phone,TD CASH BACK VISA* CARD,,
8/04/2022,Real Canadian Superstore,Real Canadian Superstore,19.12,debit,Groceries,Cash,,
8/04/2022,Restaurant,Restaurant,9.44,debit,Restaurants,Cash,,
8/04/2022,T & T Supermarket,T & T Supermarket,8.66,debit,Groceries,Cash,,
8/03/2022,B.C. HYDRO-PAP BPY,B.C. HYDRO-PAP BPY,42.26,debit,Utilities,TD UNLIMITED CHEQUING ACCOUNT,,
8/03/2022,Real Canadian Superstore,Real Canadian Superstore,31.98,debit,Groceries,Cash,,
